id,review,sentimen
1,Aplikasi TikTok sangat menyenangkan dan addiktif,Positif
2,Saya tidak suka iklan di aplikasi ini,Negatif
3,Kualitas video bagus dan loading cepat,Positif
4,Fitur duet dan stitch sangat keren,Positif
5,Terlalu banyak bug dan sering crash,Negatif
6,Aplikasi ini menghabiskan baterai dengan cepat,Negatif
7,Senang bisa berbagi momen dengan teman-teman,Positif
8,Interface yang user-friendly dan mudah digunakan,Positif
9,Privacy policy kurang jelas dan membingungkan,Negatif
10,Rekomendasi konten sangat akurat,Positif
11,Sering lag ketika streaming video HD,Negatif
12,Kreativitas tanpa batas di platform ini,Positif
13,Tidak bisa menghapus data personal dengan mudah,Negatif
14,Musik dan sound effects berkualitas tinggi,Positif
15,Update app sering mengganggu pengalaman,Negatif
16,Fitur live streaming sangat interaktif,Positif
17,Konsumsi data internet terlalu besar,Negatif
18,Komunitas yang supportif dan ramah,Positif
19,Algoritma recommend terkadang tidak sesuai harapan,Negatif
20,Efek filter sangat lucu dan kreatif,Positif
21,Notifikasi terlalu sering dan mengganggu,Negatif
22,Saya sudah menghabiskan 5 jam hari ini,Positif
23,Performa aplikasi menurun setelah update,Negatif
24,Monetisasi konten mudah dan transparan,Positif
25,Sering ada error saat upload video,Negatif
26,Trending page sangat membantu menemukan konten bagus,Positif
27,Privasi pengguna terancam dengan fitur sharing,Negatif
28,Dukungan pelanggan responsif dan membantu,Positif
29,Ads placement mengganggu viewing experience,Negatif
30,Fitur comment section sangat engaging,Positif
31,Aplikasi memakan ruang penyimpanan terlalu banyak,Negatif
32,Kualitas audio dalam video bisa lebih baik,Positif
33,Konten creator lokal berkualitas tinggi,Positif
34,Sinkronisasi akun di beberapa device bermasalah,Negatif
35,Fitur duet membuat kolaborasi menjadi mudah,Positif
36,Loading konten terlalu lambat di wifi lemah,Negatif
37,Voting dan engagement tools sangat berguna,Positif
38,Battery drain issue masih belum diperbaiki,Negatif
39,Fitur pencarian bisa ditingkatkan,Negatif
40,Komunitas creator sangat supportif dan inspiratif,Positif
41,Sering crash di saat yang tidak tepat,Negatif
42,Kualitas streaming 4K sangat memukau,Positif
43,Algoritma bekerja terlalu invasif terhadap privasi,Negatif
44,Fitur duet dengan artis terkenal seru,Positif
45,Update fitur datang terlalu sering dan membingungkan,Negatif
46,Efek visual sangat smooth dan profesional,Positif
47,Subtitle generation feature kurang akurat,Negatif
48,Rekomendasi lagu sangat sesuai mood saya,Positif
49,Server sering down di jam prime time,Negatif
50,Bisa monetisasi konten dengan mudah,Positif
51,Pengguna baru mudah overwhelmed dengan fitur,Negatif
52,Kolaborasi dengan brand sangat mudah,Positif
53,Batasan durasi video terlalu pendek untuk konten panjang,Negatif
54,Efek transisi video sangat profesional,Positif
55,Notifikasi push bisa dikurangi frekuensinya,Negatif
56,Platform terbaik untuk content creator pemula,Positif
57,Konten yang tidak diinginkan masih muncul,Negatif
58,Fitur green screen sangat berguna,Positif
59,Pengalaman pengguna terganggu oleh bug,Negatif
60,Bisa mendapatkan viral exposure dengan cepat,Positif
61,Setting privasi terlalu rumit untuk dipahami,Negatif
62,Editing tools in-app sangat lengkap,Positif
63,Iklan yang muncul tidak relevan dengan interest saya,Negatif
64,Komunitas global yang bisa diakses dengan mudah,Positif
65,Sync dengan Instagram kurang sempurna,Negatif
66,Caption automation sangat membantu,Positif
67,Sering ada shadow ban tanpa penjelasan,Negatif
68,Fitur gift dari viewers sangat memotivasi,Positif
69,Dark mode kurang ergonomis untuk mata,Negatif
70,Tutorial fitur baru sangat jelas dan helpful,Positif
71,Account security bisa ditingkatkan,Negatif
72,Trending sounds selalu update dan fresh,Positif
73,Sering not get notified tentang comment baru,Negatif
74,Creator fund memberi passive income,Positif
75,Payment method terbatas di region saya,Negatif
76,Live shopping feature sangat inovatif,Positif
77,Video encoding quality terkadang menurun,Negatif
78,Kolaborasi dengan creator lain sangat mudah,Positif
79,Cache clearing diperlukan terlalu sering,Negatif
80,Fitur multi-language subtitle sangat bagus,Positif
81,Tracking pixel terlalu agresif untuk privasi,Negatif
82,Rewatch value konten sangat tinggi,Positif
83,Mobile app tidak compatible dengan semua devices,Negatif
84,Sticker dan emoji yang available sangat banyak,Positif
85,Server response time terkadang lambat,Negatif
86,Kemudahan membuat playlist konten favorit,Positif
87,Watermark tidak bisa dihapus dengan mudah,Negatif
88,Video quality setting sangat fleksibel,Positif
89,Comments section banyak spam dan troll,Negatif
90,Algoritma selalu memberikan rekomendasi segar,Positif
91,Data usage tidak bisa dimonitor dengan baik,Negatif
92,Fitur duet dengan lagu cover sangat seru,Positif
93,Update yang frequent kadang buggy,Negatif
94,Engagement rate creator sangat tinggi,Positif
95,UI bisa lebih intuitif untuk user baru,Negatif
96,Fitur go live sangat user friendly,Positif
97,Batch download video tidak tersedia,Negatif
98,Audio mixing tools sangat powerful,Positif
99,Shadowban issue masih menjadi problem,Negatif
100,Discovery page membantu menemukan talent baru,Positif
101,Settings menu terlalu nested dan membingungkan,Negatif
102,Kolaborasi internasional dengan mudah,Positif
103,Battery optimization perlu ditingkatkan,Negatif
104,Trend forecasting accuracy sangat tinggi,Positif
105,Sulit untuk tracking analytics konten,Negatif
106,Fitur duet full screen sangat bagus,Positif
107,Cross platform sharing terkadang bermasalah,Negatif
108,Musik library sangat extensive dan updated,Positif
109,Ads frequency terlalu tinggi untuk free users,Negatif
110,Engagement tools untuk creator sangat lengkap,Positif
111,Memory optimization perlu improvement,Negatif
112,Fitur bookmarks untuk save konten favorite,Positif
113,Content moderation terkadang over-aggressive,Negatif
114,Analytics dashboard sangat comprehensive,Positif
115,Sync issue dengan cloud storage,Negatif
116,Feedback system sangat responsif,Positif
117,Malware risk dari third party content,Negatif
118,Fitur duet dengan duet profesional sangat keren,Positif
119,Update rollback tidak bisa dilakukan manual,Negatif
120,Reach organik untuk konten berkualitas tinggi,Positif
121,Permissions request terlalu banyak,Negatif
122,Kolaborasi dengan brand semakin mudah,Positif
123,Video compression kualitas kurang baik,Negatif
124,Creator tools sangat comprehensive,Positif
125,Bandwidth requirement terlalu tinggi,Negatif
126,Hashtag research tools sangat akurat,Positif
127,Phishing attempt melalui DM meningkat,Negatif
128,Fitur tip dari viewers sangat membantu,Positif
129,Font rendering terkadang bermasalah,Negatif
130,Network optimization sangat bagus,Positif
131,Account recovery process lambat,Negatif
132,Duet suggestion algorithm sangat smart,Positif
133,Malicious comments filtering bisa lebih baik,Negatif
134,Earning potential untuk creator sangat tinggi,Positif
135,Connection drop terlalu sering,Negatif
